,Address,Lat,Long,Zipcode
151,"2400 COOLIDGE AV, Oakland, CA",37.7856891,-122.2194339,94601
152,"107TH AV & RUSSETT ST, Oakland, CA",37.7342923,-122.1739244,94603
153,"800 33RD AV, Oakland, CA",37.7731421,-122.227015,94601
154,"1200 107TH AV, Oakland, CA",37.7360639,-122.1696602,94603
155,"3200 HANNAH ST, Oakland, CA",37.8237413,-122.2866163,94608
156,"2000 E 21ST ST, Oakland, CA",37.791088,-122.2348775,94606
157,"4400 VIRGINIA AV, Oakland, CA",37.7835784,-122.1986604,94619
158,"3700 PIEDMONTA AVE, Oakland, CA",37.823282,-122.2565256,94611
159,"00 TERALYNN COURT, Oakland, CA",37.79760539999999,-122.1778845,94619
160,"4400 TELEGRAPH AV, Oakland, CA",37.8325471,-122.2632176,94609
161,"2500 HARRISON ST, Oakland, CA",37.8130848,-122.2611881,94612
162,"3200 FOOTHILL BLVD, Oakland, CA",37.7837518,-122.2227823,94601
163,"600 8TH ST, Oakland, CA",37.8016171,-122.2773659,94607
164,"1200 77TH AV, Oakland, CA",37.7559579,-122.1868672,94621
165,"5800 CHABOT CT, Oakland, CA",37.8487099,-122.2441904,94618
166,"4000 PEIDMONT AVE, Oakland, CA",37.8254574,-122.2534983,94611
167,"5800 SAN PABLO AV, Oakland, CA",37.8415801,-122.2824907,94608
168,"98TH AV & INTERNATIONAL BLVD, Oakland, CA",37.7444069,-122.1704705,94603
169,"1300 INTERNATIONAL BLVD, Oakland, CA",37.789941,-122.2467816,94606
170,"700 6TH ST, Oakland, CA",37.80021199999999,-122.2781881,94607
171,"1100 72ND AV, Oakland, CA",37.7574166,-122.1910675,94621
172,"3800 FOOTHILL BLVD, Oakland, CA",37.7790233,-122.2163424,94601
173,"3200 KNOWLAND AVE, Oakland, CA",37.7822507,-122.1955568,94619
174,"10300 KNIGHT ST, Oakland, CA",37.7298344,-122.1816457,94603
175,"900 MARKET ST, Oakland, CA",37.8034784,-122.2814274,94607
176,"4300 BROOKDALE AV, Oakland, CA",37.7823875,-122.2036171,94619
177,"7100 SAN LEANDRO ST, Oakland, CA",37.753885,-122.1973819,94621
178,"2200 IVY DR, Oakland, CA",37.8013523,-122.245922,94606
179,"2700 MOUNTAIN BLVD, Oakland, CA",37.814611,-122.1999344,94602
180,"5600 OCEAN VIEW DRIVE, Oakland, CA",37.8432888,-122.2516265,94618
181,"500 E 8TH ST, Oakland, CA",37.7930072,-122.2572577,94606
182,"5700 ADELINE ST, Oakland, CA",37.8416381,-122.2743199,94608
183,"3900 COLUMBIAN DR, Oakland, CA",37.7743218,-122.1631125,94605
184,"1100 60TH AV, Oakland, CA",37.7611554,-122.2038616,94621
185,"00 AIRPORT DRIVE, Oakland, CA",37.7137253,-122.213808,94621
186,"1500 MACARTHUR BLVD, Oakland, CA",37.8011793,-122.2257468,94602
187,"100 HEGENBERGER LOOP, Oakland, CA",37.7346808,-122.1955125,94621
188,"5200 MARTIN LUTHER KING JR W, Oakland, CA",37.8372534,-122.2684472,94609
189,"2100 51ST AVE, Oakland, CA",37.7737293,-122.2040029,94601
190,"600 LONGRIDGE RD, Oakland, CA",37.8112737,-122.2426733,94610
191,"2700 77TH AV, Oakland, CA",37.7658897,-122.1708133,94605
192,"2500 INYO AV, Oakland, CA",37.7904369,-122.2284592,94601
193,"6500 HERZOG ST, Oakland, CA",37.84848789999999,-122.2834916,94608
194,"200 LESTER AVE, Oakland, CA",37.8026825,-122.2521353,94606
195,"8300 BALDWIN ST, Oakland, CA",37.7461261,-122.1932069,94621
196,"1600 65TH AV, Oakland, CA",37.7635405,-122.1929931,94621
197,"10200 EDES AV, Oakland, CA",37.7347664,-122.1800105,94603
198,"10400 INTERNATIONAL BLVD, Oakland, CA",37.740161,-122.166977,94603
199,"2500 MAXWELL AV, Oakland, CA",37.776445,-122.1991925,94601
200,"3700 ALAMEDA AV, Oakland, CA",37.7682352,-122.2271958,94601
201,"1200 22ND AV, Oakland, CA",37.7837989,-122.2386186,94606
202,"9900 ST ELMO DR, Oakland, CA",37.73212729999999,-122.1849151,94603
203,"400 27TH AVE, Oakland, CA",37.8160954,-122.2656722,94612
204,"1000 COTTON ST ST, Oakland, CA",37.7799996,-122.2389317,94606
205,"900 GOLF LINKS ROAD, Oakland, CA",37.7555422,-122.1458142,94605
206,"4000 HOWE ST, Oakland, CA",37.826318,-122.253741,94611
207,"LAKESHORE AV & E 15TH ST, Oakland, CA",37.799506,-122.257181,94606
208,"2400BLK WEBSTER ST, Oakland, CA",,,
209,"5TH 5TH AVE, Oakland, CA",37.7944158,-122.2557824,94606
210,"TELEGRAPH AVE/W GRAND AVE, Oakland, CA",37.8140947,-122.2796729,94607
211,"HARRISON ST, Oakland, CA",37.8086512,-122.2632118,94612
212,"2000 16TH AV, Oakland, CA",37.7925023,-122.2398857,94606
213,"CLAY ST & EMBARCADERO, Oakland, CA",37.7963615,-122.2791651,94607
214,"500 HEGENBERGER RD, Oakland, CA",37.7412335,-122.1962427,94603
215,"400 26TH ST, Oakland, CA",37.8153427,-122.2662836,94612
216,"3700 PARK BOULEVARD, Oakland, CA",37.8047383,-122.2313917,94610
217,"1400 34TH ST, Oakland, CA",37.825895,-122.2841361,94608
218,"MACARTHUR BLVD & 82ND AV, Oakland, CA",37.7626847,-122.1648942,94605
219,"500 25TH ST, Oakland, CA",37.8143699,-122.2683712,94612
220,"32ND ST & MAGNOLIA ST, Oakland, CA",37.8240075,-122.2821043,94608
221,"2300 GRANDE VISTA PL, Oakland, CA",37.7937472,-122.2251118,94601
222,"9800 KITTY LN, Oakland, CA",37.7281319,-122.1974277,94603
223,"7200 BLK HOLLY STREET, Oakland, CA",37.7628171,-122.1832746,94621
224,"2700 MANDELA PARKWAY, Oakland, CA",37.8211453,-122.2886112,94608
225,"300 LAKESIDE DRIVE, Oakland, CA",37.8087498,-122.263705,94612
226,"10000 DOOLITTLE DRIVE, Oakland, CA",37.7255924,-122.1992389,94603
227,"3300 BIRDSALL AV, Oakland, CA",37.7823027,-122.1929408,94619
228,"5400 REDWOOD RD, Oakland, CA",37.7984687,-122.1707595,94619
229,"2200 MAGNOLIA ST, Oakland, CA",37.8157596,-122.2850803,94607
230,"7100BLK HAWLEY ST, Oakland, CA",37.7556427,-122.1954015,94621
231,"200 WAYNE AV, Oakland, CA",37.8012035,-122.252283,94606
232,"5300 FOOTHILL BLVD, Oakland, CA",37.7728135,-122.2005896,94601
233,"6200 ANTIOCH ST, Oakland, CA",37.8257907,-122.2085249,94611
234,"1300 BLK HARRISON ST, Oakland, CA",37.8022423,-122.2680246,94612
235,"MADERA AVE, Oakland, CA",37.7788932,-122.1920564,94619
236,"11100 ACALANES DR, Oakland, CA",37.7288609,-122.1728533,94603
237,"FAIRFAX AV & FOOTHILL BLVD, Oakland, CA",37.7726368,-122.2007919,94601
238,"1400 ADELINE ST, Oakland, CA",37.8097222,-122.2857911,94607
239,"1300 90TH AV, Oakland, CA",37.748948,-122.175982,94603
240,"37TH AV & E 8TH ST, Oakland, CA",37.771244,-122.2238873,94601
241,"1500 MARKET ST, Oakland, CA",37.808862,-122.280183,94607
242,"600 36TH ST, Oakland, CA",37.8253376,-122.2697791,94609
243,"00 LINDEN ST, Oakland, CA",37.7991961,-122.2875358,94607
244,"2400 DAMUTH ST, Oakland, CA",37.8017167,-122.2121202,94602
245,"1400 18TH AV, Oakland, CA",37.7870929,-122.2420904,94606
246,"100 EMBARCADERO, Oakland, CA",37.7908101,-122.2627873,94606
247,"3000 ROXBURY AV, Oakland, CA",37.7353916,-122.1383897,94605
248,"1700 FOOTHILL BLVD, Oakland, CA",37.7893754,-122.2415167,94606
249,"3500 SE 122ND AVE, Oakland, CA",,,
250,"3700 PIEDMONT AV, Oakland, CA",37.823282,-122.2565256,94611
251,"2000 ROSEDALE AV, Oakland, CA",37.7782992,-122.2126699,94601
