,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
2390,THEFT/LARCENY,2018-01-24 18:00:00,18-004313,THEFT,06X,3600 WEST ST,Oakland,CA,37.8256609,-122.271812,94608
2391,ROBBERY,2018-01-24 19:35:00,18-004318,ROBBERY-FIREARM,09X,40TH ST & HOWE ST,Oakland,CA,37.8260452,-122.254549,94611
2392,MOTOR VEHICLE THEFT,2018-02-10 03:57:00,18-007394,VEHICLE THEFT - AUTO,26Y,66TH AV & EASTLAWN ST,Oakland,CA,37.7601527,-122.1963378,94621
2393,ASSAULT,2018-01-23 11:46:00,18-004063,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Z,100 KERWIN AV,Oakland,CA,37.7288068,-122.1849151,94603
2394,THEFT/LARCENY,2018-01-12 23:00:00,18-901671,THEFT,08X,400 34TH ST,Oakland,CA,37.8224505,-122.263417,94609
2395,BURGLARY,2018-01-23 12:49:00,18-004065,ATTEMPTED BURGLARY,31Y,200 SEXTUS RD,Oakland,CA,37.7336266,-122.1949215,94603
2396,THEFT/LARCENY,2018-01-17 12:35:00,18-901672,BURGLARY-AUTO,01X,200 WEBSTER ST,Oakland,CA,37.795351,-122.2734748,94607
2397,THEFT/LARCENY,2018-01-16 01:10:00,18-901673,THEFT,20X,400 DERBY AV,Oakland,CA,37.7715678,-122.2315944,94601
2398,MOTOR VEHICLE THEFT,2018-01-23 22:17:00,18-004155,VEHICLE THEFT - AUTO,27X,RAWSON ST & TRASK ST,Oakland,CA,37.7756594,-122.199331,94601
2399,ASSAULT,2018-01-23 22:24:00,18-004158,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2400 24TH AV,Oakland,CA,37.7895332,-122.2272466,94601
2400,THEFT/LARCENY,2018-01-23 19:40:00,18-004160,BURGLARY-AUTO,01X,200 CLAY ST,Oakland,CA,37.7970136,-122.2787532,94607
2401,DISTURBING THE PEACE,2018-01-23 18:00:00,18-004164,DISTURB THE PEACE,30X,8100 BIRCH ST,Oakland,CA,37.7588046,-122.1741075,94621
2402,THEFT/LARCENY,2018-01-16 19:30:00,18-901682,BURGLARY-AUTO,04X,600 WILLIAM ST,Oakland,CA,37.8093988,-122.2717174,94612
2403,THEFT/LARCENY,2018-01-15 16:30:00,18-901683,GRAND THEFT,22X,2700 MOUNTAIN BLVD,Oakland,CA,37.814611,-122.1999344,94602
2404,THEFT/LARCENY,2018-01-24 17:00:00,18-004326,BURGLARY-AUTO,01X,2ND ST & WASHINGTON ST,Oakland,CA,37.7965406,-122.2775626,94607
2405,ASSAULT,2018-01-24 20:45:00,18-004327,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32Y,9800 BIRCH ST,Oakland,CA,37.7468961,-122.1650798,94603
2406,THEFT/LARCENY,2018-01-24 19:30:00,18-004328,BURGLARY-AUTO,08X,40TH ST & WEBSTER ST,Oakland,CA,37.8286289,-122.2608099,94609
2407,ASSAULT,2018-01-20 14:00:00,18-004330,BATTERY,21Y,2400 COOLIDGE AV,Oakland,CA,37.7856891,-122.2194339,94601
2408,THEFT/LARCENY,2018-01-24 17:30:00,18-004331,BURGLARY-AUTO,12X,600 49TH ST,Oakland,CA,37.8358062,-122.263195,94609
2409,VANDALISM,2018-01-24 19:10:00,18-004325,VANDALISM,32Y,2200 WARNER AV,Oakland,CA,37.7473214,-122.1607276,94603
